date,diesel_price_krw
2011-03-05,1709.07
2011-03-06,1711.15
2011-03-07,1715.67
2011-03-08,1726.4
2011-03-09,1734.78
2011-03-10,1742.71
2011-03-11,1749.06
2011-03-12,1753.27
2011-03-13,1754.99
2011-03-14,1758.26
2011-03-15,1762.64
2011-03-16,1765.54
2011-03-17,1768.33
2011-03-18,1771.15
2011-03-19,1773.5
2011-03-20,1774.62
2011-03-21,1777.13
2011-03-22,1781.33
2011-03-23,1784.07
2011-03-24,1786.43
2011-03-25,1788.55
2011-03-26,1790.1
2011-03-27,1790.78
2011-03-28,1792.4
2011-03-29,1795.25
2011-03-30,1796.87
2011-03-31,1798.01
2011-04-01,1799.56
2011-04-02,1800.4
2011-04-03,1800.77
2011-04-04,1801.41
2011-04-05,1801.84
2011-04-06,1801.62
2011-04-07,1788.45
2011-04-08,1784.32
2011-04-09,1782.77
2011-04-10,1782.09
2011-04-11,1781.08
2011-04-12,1784.61
2011-04-13,1785.44
2011-04-14,1786.6
2011-04-15,1787.66
2011-04-16,1788.78
2011-04-17,1789.18
2011-04-18,1790.13
2011-04-19,1792.02
2011-04-20,1793.58
2011-04-21,1794.59
2011-04-22,1795.48
2011-04-23,1796.02
2011-04-24,1796.24
2011-04-25,1796.83
2011-04-26,1796.62
2011-04-27,1796.56
2011-04-28,1796.45
2011-04-29,1796.45
2011-04-30,1796.29
2011-05-01,1796.21
2011-05-02,1796.18
2011-05-03,1796.49
2011-05-04,1796.62
2011-05-05,1796.76
2011-05-06,1796.75
2011-05-07,1796.77
2011-05-08,1796.73
2011-05-09,1796.6
2011-05-10,1793.96
2011-05-11,1792.8
2011-05-12,1790.71
2011-05-13,1787.82
2011-05-14,1785.79
2011-05-15,1784.87
2011-05-16,1783.11
2011-05-17,1778.22
2011-05-18,1772.25
2011-05-19,1767.27
2011-05-20,1762.75
2011-05-21,1759.31
2011-05-22,1757.85
2011-05-23,1754.54
2011-05-24,1749.77
2011-05-25,1745.71
2011-05-26,1742.22
2011-05-27,1739.59
2011-05-28,1737.94
2011-05-29,1736.77
2011-05-30,1735.38
2011-05-31,1734.45
2011-06-01,1732.01
2011-06-02,1730.75
2011-06-03,1730.24
2011-06-04,1730.02
2011-06-05,1729.53
2011-06-06,1729.38
2011-06-07,1729.63
2011-06-08,1729.45
2011-06-09,1729.4
2011-06-10,1729.3
2011-06-11,1729.45
2011-06-12,1729.4
2011-06-13,1729.64
2011-06-14,1731.15
2011-06-15,1732.63
2011-06-16,1733.64
2011-06-17,1735.41
2011-06-18,1736.8
2011-06-19,1737.39
