date,lpg_price_krw
2012-03-29,1144.27
2012-03-30,1144.2
2012-03-31,1144.25
2012-04-01,1144.3
2012-04-02,1144.3
2012-04-03,1144.25
2012-04-04,1144.28
2012-04-05,1144.28
2012-04-06,1144.52
2012-04-07,1144.74
2012-04-08,1144.59
2012-04-09,1144.7
2012-04-10,1144.66
2012-04-11,1144.65
2012-04-12,1144.72
2012-04-13,1144.33
2012-04-14,1144.56
2012-04-15,1144.47
2012-04-16,1144.4
2012-04-17,1144.55
2012-04-18,1144.55
2012-04-19,1144.53
2012-04-20,1144.47
2012-04-21,1144.53
2012-04-22,1144.46
2012-04-23,1144.48
2012-04-24,1144.48
2012-04-25,1144.45
2012-04-26,1144.47
